AAII_QTR_DATA,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Diluted_EPS,-0.002,-0.001,-0.002,-0.002,-0.002,-0.001,-0.002,-0.003,-0.003,-0.002,-0.004,-0.003,-0.004,-0.003,-0.003,-0.003
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484,131.4484
Total_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
