AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-0.9,-0.8,0.8,-0.3,-0.3,0.1,-0.2
Diluted_EPS,-0.064,-0.005,0.021,-0.049,0.007,-0.003,-0.005
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-0.7,-0.1,0.2,-0.6,0.1,0.0,-0.1
Revenue,10.2,8.9,10.6,6.7,6.2,5.8,7.5
Shares_Diluted,12.0493,11.2083,11.2018,11.5836,11.2018,11.3104,11.2018
Total_Assets,2.4,3.0,3.7,3.8,4.1,4.2,4.4
Total_Liabilities,1.2,1.2,1.8,2.1,1.9,2.2,2.3
