AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,0.0,0.1,0.4,0.6,0.3,0.1,0.2
Cash_from_Operations,2.8,-1.6,-0.4,-2.7,1.6,-6.6,2.1
Diluted_EPS,0.559,-0.308,-0.572,-0.796,0.653,-0.417,0.585
Goodwill_Intangibles,1.9,2.0,2.2,0.0,,,
LT_Debt,22.8,26.9,28.5,27.9,7.0,8.9,0.5
Net_Income,6.8,-3.7,-6.8,-7.5,5.8,-3.6,5.0
Revenue,103.4,87.6,87.5,70.4,81.3,81.3,100.2
Shares_Diluted,12.1938,11.8843,11.8081,9.4809,8.8384,8.6558,8.58
Total_Assets,55.0,46.5,43.4,47.4,124.2,117.8,116.7
Total_Liabilities,60.3,59.5,53.4,51.4,49.9,50.2,46.2
