AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,26.3,45.6,50.8,43.8,36.3,54.5,67.7,57.6
Cash_from_Operations,94.9,67.5,17.4,17.6,-14.6,37.0,-131.3,-69.8
Diluted_EPS,-0.954,-1.242,-1.274,-1.604,-2.974,-3.499,-3.121,-0.8759999999999999
Goodwill_Intangibles,1491.0,1339.7,1143.0,1172.0,1222.3,964.8,1011.9,987.7
LT_Debt,960.9,893.3,962.6,779.6,742.0,706.2,0.0,0.0
Net_Income,-213.0,-257.4,-243.1,-285.2,-485.4,-539.2,-443.8,-120.6
Revenue,940.6,889.2,831.0,779.6,706.0,623.0,425.7,161.6
Shares_Diluted,223.308,207.234,190.803,177.757,163.211,154.12,142.176,137.75799999999998
Total_Assets,3245.9,2890.5,2696.1,2458.8,2383.0,2441.5,1758.9,1376.3
Total_Liabilities,2111.9,2188.8,2045.7,1826.6,1541.9,1397.1,508.1,328.2
