AAII_KEY_STATISTICS_DATA,06/30/2022,12/31/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,,,,,,
Institutional_Ownership,0.0,0.0,0.0,0.0,0.0,0.0
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,28.0,28.0,28.0,28.0,28.0,0.0
No_of_Institutions,0.0,0.0,0.0,0.0,0.0,0.0
