Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
12/31/2020,0.52,3/8/2020,0.52,,,,,,,,,,
9/30/2020,0.52,,0.52,,0.5,,0.52,,0.51,,,,
6/30/2020,0.54,,0.54,,0.52,,0.51,,,,,,
3/31/2020,0.38,,0.38,,0.39,,,,,,,,
12/31/2019,0.18,,0.44,,0.47,,0.49,,0.38,,0.37,,0.42
9/30/2019,0.28,,0.45,,0.47,,0.37,,0.36,,0.39,,
7/1/2019,0.418011895,,0.43,,0.44,,0.38,,0.39,,0.4,,
3/29/2019,0.183431953,,0.22,,0.23,,0.24,,0.28,,0.36,,
12/31/2018,0.315481172,,0.32,,0.33,,0.38,,0.39,,,,
9/28/2018,-0.054880603,,0.3,,0.32,,0.33,,,,,,
6/29/2018,0.306214227,,0.35,,0.36,,0.38,,,,,,
3/29/2018,0.284377543,,0.24,,0.29,,,,,,,,
12/29/2017,-0.249898415,,0.31,,0.33,,0.36,,0.39,,0.37,,
9/29/2017,0.223352319,,0.24,,0.26,,0.37,,0.38,,0.37,,0.39
6/30/2017,-0.086342881,,0.39,,0.43,,0.45,,,,,,
3/31/2017,0.260463226,,0.24,,0.26,,0.27,,,,,,
12/30/2016,-0.152528207,,0.29,,0.3,,0.34,,0.32,,0.35,,0.33
9/30/2016,-0.044863732,,0.31,,0.32,,0.34,,0.33,,0.34,,
6/30/2016,0.200082508,,0.35,,0.36,,0.4,,0.38,,,,
3/31/2016,0.122930464,,0.18,,0.19,,0.22,,,,,,
12/31/2015,0.159834369,,0.26,,0.3,,0.29,,,,,,
9/30/2015,0.145703611,,0.26,,0.32,,,,,,,,
6/30/2015,-0.108049935,,0.3,,0.29,,,,,,,,
3/31/2015,0.190295359,,0.14,,0.15,,,,,,,,
12/31/2014,-0.009552757,,0.23,,,,,,,,,,
9/30/2014,-0.086409032,,nan,,,,,,,,,,
6/30/2014,0.233608337,,nan,,,,,,,,,,
