Date,Q_EPS_Diluted,,,,,,,,,,,,
12/31/2020,1.29,1.28,1.28,1.300384615,1.361792829,,,,,,,,
9/30/2020,1.26,1.24,1.24,1.241720648,1.300358566,,,,,,,,
6/30/2020,1.2,1.18,1.18,1.19,1.18305668,1.238924303,,,,,,,
3/31/2020,1.18,1.17,1.17,1.114615385,1.167250996,,,,,,,,
12/31/2019,1.38,1.38,1.38,1.33,1.32,1.33,1.51,1.52,1.53,1.52,1.53,1.6,1.61
9/30/2019,1.36,1.32,1.32,1.31,1.27,1.48,1.49,1.48,1.49,1.5,1.55,,
6/28/2019,-0.131048063,1.13,1.21,1.42,1.4,1.41,1.42,1.44,1.45,,,,
3/29/2019,-0.178498786,1.14,1.37,1.36,1.37,1.38,1.41,,,,,,
12/31/2018,0.494382022,1.41,1.35,1.44,,,,,,,,,
9/28/2018,0.244247686,1.34,1.37,,,,,,,,,,
6/29/2018,0.123952719,1.25,,,,,,,,,,,
3/29/2018,0.556248245,1.18,,,,,,,,,,,
12/29/2017,1.740608796,1.17,1.07,0.61,0.62,0.6,,,,,,,
9/29/2017,0.185053912,1.11,1,0.61,0.62,0.6,0.59,0.57,,,,,
6/30/2017,0.276343466,0.93,0.91,0.59,0.57,0.55,0.53,0.51,,,,,
3/31/2017,-0.426072986,0.74,0.53,0.5,0.47,0.43,0.4,0.58,,,,,
12/30/2016,0.070412948,0.58,0.57,0.55,0.53,0.51,0.49,0.48,0.44,0.53,,,
9/30/2016,-0.025865123,0.53,0.51,0.49,0.48,0.46,0.42,0.46,,,,,
6/30/2016,0.093016009,0.46,0.42,0.41,0.42,0.39,,,,,,,
3/31/2016,-0.042660623,0.3,0.38,0.37,,,,,,,,,
12/31/2015,0.240226694,0.47,0.43,0.39,0.36,0.37,0.36,,,,,,
9/30/2015,0.215883835,0.43,0.44,0.36,0.34,0.35,0.33,,,,,,
6/30/2015,0.09301494,0.33,0.32,0.31,0.3,,,,,,,,
3/31/2015,0.014555594,0.27,0.26,0.27,0.14,,,,,,,,
12/31/2014,0.130497158,0.33,0.3,0.28,0.21,0.09,,,,,,,
9/30/2014,0.091574241,0.28,0.26,0.2,0.1,,,,,,,,
6/30/2014,0.052863072,0.24,0.19,0.09,,,,,,,,,
3/31/2014,0.040566458,0.21,0.17,0.05,,,,,,,,,
12/31/2013,-0.018971082,0.15,0.03,,,,,,,,,,
9/30/2013,-0.002309384,0.13,0.12,0.02,,,,,,,,,
6/28/2013,-0.056053772,0.12,0.11,0.01,,,,,,,,,
3/28/2013,-0.235059884,0.1,0.18,0.07,,,,,,,,,
12/31/2012,0.086823052,0.18,0.17,0.07,,,,,,,,,
9/28/2012,0.028375824,0.16,,,,,,,,,,,
6/29/2012,0.022884669,nan,,,,,,,,,,,
3/30/2012,0.003176154,nan,,,,,,,,,,,
12/30/2011,0.079753614,nan,,,,,,,,,,,
9/30/2011,0.044925079,nan,,,,,,,,,,,
6/30/2011,0.10655674,nan,,,,,,,,,,,
3/31/2011,-0.002716448,nan,,,,,,,,,,,
12/31/2010,0.213576656,nan,,,,,,,,,,,
9/30/2010,0.160534035,nan,,,,,,,,,,,
6/30/2010,0.365812392,nan,,,,,,,,,,,
3/31/2010,0.112358278,nan,,,,,,,,,,,
12/31/2009,0.1,nan,,,,,,,,,,,
9/30/2009,0.07,nan,,,,,,,,,,,
6/30/2009,0.1,nan,,,,,,,,,,,
3/31/2009,0.1,nan,,,,,,,,,,,
12/31/2008,0.04,nan,,,,,,,,,,,
9/30/2008,-0.15,nan,,,,,,,,,,,
6/30/2008,-0.92,nan,,,,,,,,,,,
